Ticket_ID,Agent_ID,Customer_ID,Issue_Type,Channel,Created_Date,First_Response_Date,Resolved_Date,Escalated,Satisfaction_Score
TCKT00001,Agent_1,CUST5506,Payment Failure,Email,2025-04-18 18:48:47,2025-04-18 21:41:47,2025-04-19 12:41:47,Y,1
TCKT00002,Agent_2,CUST7912,Login Issue,Email,2025-01-06 05:42:31,2025-01-06 08:45:31,2025-01-09 06:45:31,Y,2
TCKT00003,Agent_10,CUST1434,Account Suspension,Email,2024-12-20 11:25:36,2024-12-20 12:34:36,2024-12-23 05:34:36,N,2
TCKT00004,Agent_1,CUST3615,Feature Request,Chat,2025-05-08 14:44:38,2025-05-08 16:48:38,2025-05-10 04:48:38,N,2
TCKT00005,Agent_2,CUST2519,Feature Request,Email,2025-02-07 00:35:52,2025-02-07 01:40:52,2025-02-08 21:40:52,N,3
TCKT00006,Agent_1,CUST8527,Account Suspension,Email,2025-02-01 04:08:49,2025-02-01 06:52:49,2025-02-02 16:52:49,N,1
TCKT00007,Agent_10,CUST6925,Account Suspension,Email,2025-01-27 23:06:20,2025-01-28 01:37:20,2025-01-29 15:37:20,Y,1
TCKT00008,Agent_5,CUST2307,Payment Failure,Email,2025-01-11 17:09:43,2025-01-11 20:08:43,2025-01-13 02:08:43,N,3
TCKT00009,Agent_3,CUST7065,Bug Report,Email,2025-05-07 15:04:22,2025-05-07 17:10:22,2025-05-09 16:10:22,N,1
TCKT00010,Agent_9,CUST5010,Payment Failure,Chat,2025-01-04 12:31:49,2025-01-04 15:16:49,2025-01-05 13:16:49,N,3
TCKT00011,Agent_4,CUST6313,Login Issue,Email,2025-04-26 00:30:59,2025-04-26 03:23:59,2025-04-29 03:23:59,Y,3
TCKT00012,Agent_2,CUST4456,Account Suspension,Phone,2025-05-08 10:37:48,2025-05-08 12:29:48,2025-05-09 23:29:48,N,2
TCKT00013,Agent_7,CUST8517,Payment Failure,Chat,2025-06-06 20:43:35,2025-06-06 23:40:35,2025-06-09 15:40:35,Y,2
TCKT00014,Agent_9,CUST5304,Account Suspension,Chat,2025-03-31 12:27:38,2025-03-31 15:47:38,2025-04-03 15:47:38,N,3
TCKT00015,Agent_9,CUST9085,Login Issue,Email,2025-01-01 12:01:57,2025-01-01 13:07:57,2025-01-02 07:07:57,Y,2
TCKT00016,Agent_7,CUST2040,Feature Request,Chat,2025-04-09 06:45:46,2025-04-09 09:35:46,2025-04-10 06:35:46,N,5
TCKT00017,Agent_1,CUST2876,Account Suspension,Chat,2025-03-07 13:09:59,2025-03-07 14:23:59,2025-03-10 13:23:59,N,1
